CatalogNo,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
80351,6,6,1991,7:00:00,25200,39.58333,-120.11667,7.702398375,3.453914164,3.250290298,3.663561646
107969,28,4,1992,9:00:00,32400,42.00023,-76.00034,7.703115169,4.408352532,3.769137609,2.890371758
105316,16,6,1993,8:08:00,29280,40.371906,-105.52743,7.822139432,3.196626858,2.939016044,4.060443011
106527,3,6,1993,6:20:00,22800,39.58333,-120.11667,7.842291248,3.772419781,2.495433063,3.828641396
106563,13,6,1993,9:25:00,33900,39.71667,-120.46667,7.781370448,3.747634916,2.885702983,3.688879454
105492,8,6,1994,11:41:00,42060,36.053996,-84.672822,8.0381328,4.497364681,3.417778725,3.258096538
106641,11,6,1994,6:15:00,22500,39.71667,-120.46667,7.629381931,3.654977903,3.031048946,3.555348061
107540,3,6,1994,6:30:00,23400,39.71667,-120.467,7.682994348,3.852118676,2.333421749,3.63758616
76556,18,6,1994,10:45:00,38700,48.227419,-101.258572,7.886081402,2.589013247,3.089791069,4.33073334
106704,8,6,1995,8:15:00,29700,39.71667,-120.46667,7.815885823,3.338533645,3.084335084,3.912023005
73829,6,6,1995,6:20:00,22800,39.71667,-120.46667,7.770980052,3.887878995,2.96971993,3.555348061
106759,6,6,1996,7:45:00,27900,39.00041,-120.00036,7.703115169,2.495760234,2.757251697,4.382026635
130474,3,6,1997,5:50:00,21000,44.975573,-110.593139,8.105997409,4.024051139,3.23992262,3.713572067
84583,12,6,1997,5:01:00,18060,39.71667,-120.46667,6.919432862,3.327927001,3.5148567,2.833213344
106878,28,5,1998,5:15:00,18900,42.00017,-76.00039,7.967417717,4.001676392,3.519568134,3.496507561
112135,11,6,1998,9:15:00,33300,42.26683,-76.65117,7.851475873,3.747811879,3.32391883,3.610917913
94460,19,7,1998,5:55:00,21300,39.46667,-77.75,7.496951884,4.566605342,4.075897437,2.48490665
106965,6,6,1999,11:00:00,39600,43.00041,-74.93917,7.727045514,3.674445985,3.189327907,3.583518938
107017,3,6,2000,12:00:00,43200,39.00035,-120.00029,8.254714635,2.413870877,2.982978478,4.828313737
